n_deltas,deltas_sample,n_versions_mentioned,version_scores,n_score_progresses,score_progresses_sample,ref
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mattia-safe-rescue-v16
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mattia-v10-hgnet-v20
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mattia-v10-self-sed-v13
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mattia-v10-siteprior-v21
15,1=2→15|0=02→0.004|0=03→0.01|2=5→0.30|0=01→0.003|0=02→0.004|1=5→0.20|6=4→128|1=6→8|1=2→15,0,,0,,henryszy/bc2026-mtoshidesu-0932-v4
1,3=2→64,2,v2:0.937|v2:0.934,0,,henryszy/bc2026-mtoshidesu-robust-v61
2,j6dS3t3abMyy=7→9|1=536→768,0,,0,,henryszy/bc2026-pacerq-v51-0943-v6
7,d_model=128→256|layers=2→3|heads=2→4|d_state=16→24|epochs=40→60|patience=8→12|3=2→64,2,v55:0.946|v47:0.946,0,,henryszy/bc2026-raunak0946-bigproto-v55
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-ce-v65
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-clap-v53
1,3=2→64,1,v48:0.946,0,,henryszy/bc2026-raunak0946-direct-v44
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-focal-v57
1,3=2→64,0,,0,,henryszy/bc2026-raunak0946-focal-v58
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-lean-v56
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-negdelta-v59
1,3=2→64,1,v53:0.946,0,,henryszy/bc2026-raunak0946-noclap-v60
1,3=2→64,1,v50:0.946,0,,henryszy/bc2026-raunak0946-onlinepseudo-v50
1,3=2→64,1,v51:0.946,0,,henryszy/bc2026-raunak0946-onlinepseudo-v51
1,3=2→64,1,v52:0.946,0,,henryszy/bc2026-raunak0946-onlinepseudo-v52
