ref,title,author,lastRunTime,totalVotes
shengguangzhou/birdclef-2026-ensemble-wsl-v18x-pacerq-w060,birdclef-2026-ensemble-wsl-v18x-pacerq-w060,Shengguang Zhou,2026-04-15 16:12:49.817000,0
miaaaf/m25-stopgrad-ensemble-wt-miaaaf,m25-stopgrad-ensemble-wt-miaaaf,Miaaa F,2026-04-16 02:42:24.130000,0
shijian123456/w01-all-best-params,w01-all-best-params,shijian123456,2026-04-16 09:05:17.517000,0
shijian123456/w02-cutmix-strong,w02-cutmix-strong,shijian123456,2026-04-16 09:05:22.110000,0
shijian123456/w03-lower-temp,w03-lower-temp,shijian123456,2026-04-16 09:05:26.227000,0
shijian123456/w04-strong-distill,w04-strong-distill,shijian123456,2026-04-16 09:05:30.990000,0
shijian123456/w05-deeper-distill,w05-deeper-distill,shijian123456,2026-04-16 09:05:33.600000,0
shengguangzhou/birdclef-2026-wsl-teacher-20-40,birdclef-2026-wsl-teacher-20-40,Shengguang Zhou,2026-04-16 09:28:05.430000,0
shengguangzhou/birdclef-2026-wsl-teacher-40-60,birdclef-2026-wsl-teacher-40-60,Shengguang Zhou,2026-04-16 09:28:09.293000,0
shijian123456/x01-deeper-distill-shijian,x01-deeper-distill-shijian,shijian123456,2026-04-17 02:21:07.033000,0
shijian123456/x02-heavy-ensemble-shijian,x02-heavy-ensemble-shijian,shijian123456,2026-04-17 02:21:10.687000,0
shijian123456/x03-no-residual-hilr-shijian,x03-no-residual-hilr-shijian,shijian123456,2026-04-17 02:21:12.990000,1
shijian123456/x04-strong-aug-shijian,x04-strong-aug-shijian,shijian123456,2026-04-17 02:21:15.740000,0
shijian123456/x05-wider-fewer-shijian,x05-wider-fewer-shijian,shijian123456,2026-04-17 02:21:17.483000,0
miaaaf/w11b-oof-train-miaaaf,w11b-oof-train-miaaaf,Miaaa F,2026-04-17 02:59:24.817000,0
miaaaf/w12-ensemble-60-miaaaf,w12-ensemble-60-miaaaf,Miaaa F,2026-04-17 05:10:46.087000,1
wslllll/w15-larger-model-wslll,w15-larger-model-wslll,wslllll,2026-04-17 09:11:08.147000,0
wslllll/w16-focal-tuned-wslll,w16-focal-tuned-wslll,wslllll,2026-04-17 09:11:13.333000,0
wslllll/w17-tta-extended-wslll,w17-tta-extended-wslll,wslllll,2026-04-17 09:11:17.773000,0
robbynevels/bc26-overlap-of-labels,[BC26] Overlap of labels,thacrobatheskis,2026-04-17 15:58:50.190000,5
imronrsya/birdclef-2026-training-baseline-proto,🐦 BirdCLEF 2026: Training Baseline: Proto,Mohammad Imron Rosyadi,2026-04-19 11:11:23.193000,0
yuriygreben/multimodal-ensemble-onnx-bioclip-zero-shot,Multimodal Ensemble: ONNX & BioCLIP Zero-Shot,Yuriy Greben,2026-04-20 08:51:46.863000,18
adkasd/birdclef-2026-yuriy-replay,BirdCLEF+ 2026 Yuriy Replay,dia,2026-04-18 18:01:20.013000,0
mtoshidesu/test-birdclef2026-perch-v77,test BirdCLEF2026 Perch v77,m-toshi desu,2026-04-18 18:44:32.427000,1
jinyichen888/birdclef2026-exp-e-yuriy-hybrid-v1,BirdCLEF2026 Exp-E Yuriy Hybrid v1,Jin Yichen,2026-04-18 16:54:42.987000,0
takuminakamatsu/birdclef-2026-pantanal-wildlife-sound-eda,BirdCLEF+ 2026: Pantanal Wildlife Sound EDA 🐦,takumina,2026-04-19 08:22:11.927000,4
takuminakamatsu/birdclef-2026-perch-v2-zero-shot-tutorial,BirdCLEF 2026 Perch v2 Zero-Shot Tutorial,takumina,2026-04-19 08:24:48.037000,1
takuminakamatsu/birdclef-2026-mel-spectrogram-deep-dive,BirdCLEF 2026 Mel Spectrogram Deep Dive,takumina,2026-04-19 08:32:07.153000,4
monkeyclaw/birdclef2026-v4-improved-protossm,BirdCLEF2026 V4 Improved ProtoSSM,MonkeyClaw,2026-04-19 10:02:22.803000,1
plagiagia/birdclef-2026-a-field-guide-to-the-pantanal,BirdCLEF+ 2026 - A Field Guide to the Pantanal,Dimitrios Giannoulis,2026-04-19 15:08:30.077000,1
sijinyu/birdclef2026-exp2-lgbm-v3-original,BirdCLEF2026 Exp2 lgbm-v3 Original,Sijin Yu,2026-04-20 14:16:28.123000,1
sijinyu/birdclef2026-exp4-distill-shijian-lgbm,BirdCLEF2026 Exp4 distill-shijian + LGBM,Sijin Yu,2026-04-20 08:33:58.053000,0
mtoshidesu/birdclef-2026-3-stage-perch-catboost-reranking,BirdCLEF 2026 - 3-Stage Perch + CatBoost Reranking,m-toshi desu,2026-04-20 09:49:58.723000,1
hyh273279/birdclef-2026-simple-script,BirdCLEF 2026 - Simple Script,MR.h,2026-04-20 05:18:26.077000,0
wslllll/w18-proto-margin-wslll,w18-proto-margin-wslll,wslllll,2026-04-21 06:05:12.937000,1
wslllll/w19-distill-lower-wslll,w19-distill-lower-wslll,wslllll,2026-04-21 09:22:07.103000,1
wslllll/w21-smooth-reduced-wslll,w21-smooth-reduced-wslll,wslllll,2026-04-21 06:05:24.177000,1
wslllll/w20-prior-wslll,w20-prior-wslll,wslllll,2026-04-21 06:05:18.397000,4
wslllll/w22-fusion-55-wslll,w22-fusion-55-wslll,wslllll,2026-04-21 08:58:03.203000,0
